Player,Rank,Tiers,Team,Position,Points
Jonathan Taylor,1,1,IND,RB,312.8
Christian McCaffrey,2,1,CAR,RB,293.3
Austin Ekeler,3,1,LAC,RB,287.8
Justin Jefferson,4,1,MIN,WR,260.3
Dalvin Cook,5,1,MIN,RB,242.9
Cooper Kupp,6,1,LAR,WR,297.6
Derrick Henry,7,1,TEN,RB,278.6
Ja'Marr Chase,8,2,CIN,WR,255.3
Najee Harris,9,2,PIT,RB,243.9
Joe Mixon,10,2,CIN,RB,249
Stefon Diggs,11,2,BUF,WR,229.2
Travis Kelce,12,2,KC,TE,222.3
D'Andre Swift,13,2,DET,RB,220
Davante Adams,14,2,LV,WR,239.9
Alvin Kamara,15,3,NO,RB,249.2
Saquon Barkley,16,3,NYG,RB,223.8
CeeDee Lamb,17,3,DAL,WR,218.9
Aaron Jones,18,3,GB,RB,227.1
Leonard Fournette,19,3,TB,RB,233.1
Nick Chubb,20,3,CLE,RB,209.7
Deebo Samuel,21,3,SF,WR,241.8
Mark Andrews,22,3,BAL,TE,219
Javonte Williams,23,3,DEN,RB,219.4
Mike Evans,24,3,TB,WR,214.2
Tyreek Hill,25,3,MIA,WR,216.3
A.J. Brown,26,4,PHI,WR,200.8
James Conner,27,4,ARI,RB,223
Keenan Allen,28,4,LAC,WR,199.5
Tee Higgins,29,4,CIN,WR,208.3
Michael Pittman Jr.,30,4,IND,WR,200.1
Ezekiel Elliott,31,4,DAL,RB,199.9
Josh Allen,32,4,BUF,QB,401.4
DJ Moore,33,4,CAR,WR,194.9
Kyle Pitts,34,4,ATL,TE,163.3
Breece Hall,35,4,NYJ,RB,196.4
Travis Etienne Jr.,36,4,JAC,RB,187.3
Mike Williams,37,4,LAC,WR,194
Courtland Sutton,38,5,DEN,WR,175.5
Cam Akers,39,5,LAR,RB,193
Diontae Johnson,40,5,PIT,WR,190.2
Jaylen Waddle,41,5,MIA,WR,184.2
David Montgomery,42,5,CHI,RB,205.3
Terry McLaurin,43,5,WAS,WR,181.1
Justin Herbert,44,5,LAC,QB,355.9
J.K. Dobbins,45,5,BAL,RB,193.6
Brandin Cooks,46,5,HOU,WR,196.8
Elijah Mitchell,47,5,SF,RB,185
Patrick Mahomes II,48,5,KC,QB,372.9
George Kittle,49,5,SF,TE,154.3
AJ Dillon,50,5,GB,RB,164.4
Allen Robinson II,51,5,LAR,WR,164.7
DK Metcalf,52,5,SEA,WR,185.1
Lamar Jackson,53,5,BAL,QB,352.4
Josh Jacobs,54,5,LV,RB,188.1
Darren Waller,55,5,LV,TE,161.3
Marquise Brown,56,5,ARI,WR,168.4
Darnell Mooney,57,6,CHI,WR,174
Jerry Jeudy,58,6,DEN,WR,174.5
Kyler Murray,59,6,ARI,QB,351.1
Jalen Hurts,60,6,PHI,QB,349.8
Michael Thomas,61,6,NO,WR,180
Rashod Bateman,62,6,BAL,WR,159.4
Gabriel Davis,63,6,BUF,WR,179.3
Clyde Edwards-Helaire,64,6,KC,RB,170.2
Dalton Schultz,65,6,DAL,TE,155
Damien Harris,66,6,NE,RB,181
Chase Edmonds,67,6,MIA,RB,151.1
Chris Godwin,68,6,TB,WR,173.7
Amon-Ra St. Brown,69,6,DET,WR,180.8
